timestamp, x, y, label
1397835363.4879219532012939453125000, 7757695.671, -363587.762, 1
1397835368.6129789352416992187500000, 7757719.992, -363569.328, 2
1397835373.1130011081695556640625000, 7757744.508, -363550.424, 3
1397835376.7380220890045166015625000, 7757768.358, -363531.91, 4
1397835380.8631100654602050781250000, 7757797.168, -363521.793, 5
1397835384.7381360530853271484375000, 7757826.257, -363530.827, 6
1397835388.4882130622863769531250000, 7757849.576, -363551.197, 7
1397835392.3631789684295654296875000, 7757872.452, -363571.232, 8
1397835396.1132619380950927734375000, 7757895.458, -363591.367, 9
1397835399.4882509708404541015625000, 7757917.89, -363611.316, 10
1397835402.7382690906524658203125000, 7757940.828, -363631.417, 11
1397835406.2382779121398925781250000, 7757961.271, -363654.304, 12
1397835410.6133389472961425781250000, 7757958.459, -363684.462, 13
1397835414.7383859157562255859375000, 7757935.921, -363705.116, 14
1397835418.6135020256042480468750000, 7757912.127, -363723.411, 15
1397835422.4884409904479980468750000, 7757888.041, -363741.972, 16
1397835426.3635859489440917968750000, 7757864.058, -363760.274, 17
1397835430.3635430335998535156250000, 7757839.877, -363778.867, 18
1397835434.4885540008544921875000000, 7757815.48, -363797.345, 19
1397835438.7385919094085693359375000, 7757791.359, -363816.062, 20
1397835445.4886670112609863281250000, 7757767.555, -363834.465, 21
1397835450.2387549877166748046875000, 7757743.679, -363852.768, 22
1397835455.8637208938598632812500000, 7757719.553, -363871.364, 23
1397835460.9888079166412353515625000, 7757695.485, -363889.775, 24
1397835464.7388350963592529296875000, 7757671.413, -363908.294, 25
1397835468.3639099597930908203125000, 7757647.572, -363926.72, 26
1397835472.1138861179351806640625000, 7757623.207, -363945.501, 27
1397835476.1139259338378906250000000, 7757599.182, -363963.774, 28
1397835480.6140019893646240234375000, 7757574.801, -363982.597, 29
1397835485.1139969825744628906250000, 7757549.768, -364000.007, 30
1397835489.3640360832214355468750000, 7757523.503, -364015.078, 31
1397835493.3640279769897460937500000, 7757498.208, -364032.208, 32
1397835497.1140909194946289062500000, 7757476.046, -364052.453, 33
1397835500.7390990257263183593750000, 7757451.447, -364069.892, 34
1397835504.2390799522399902343750000, 7757423.834, -364082.369, 35
1397835507.7391829490661621093750000, 7757394.298, -364091.829, 36
1397835511.4892339706420898437500000, 7757364.54, -364098.237, 37
1397835517.1142520904541015625000000, 7757334.139, -364101.249, 38
1397835523.3643260002136230468750000, 7757303.853, -364099.232, 39
1397835529.1143620014190673828125000, 7757273.991, -364095.313, 40
1397835533.7394139766693115234375000, 7757244.263, -364091.045, 41
1397835538.2393910884857177734375000, 7757214.653, -364085.316, 42
1397835542.4895179271697998046875000, 7757184.874, -364078.773, 43
1397835546.7395310401916503906250000, 7757154.376, -364075.796, 44
1397835550.8645529747009277343750000, 7757124.347, -364072.604, 45
1397835555.1145589351654052734375000, 7757093.977, -364068.25, 46
1397835559.9896459579467773437500000, 7757063.787, -364066.72, 47
1397835564.1146559715270996093750000, 7757033.237, -364063.763, 48
1397835567.8646860122680664062500000, 7757002.559, -364059.58, 49
1397835571.2397050857543945312500000, 7756971.81, -364055.24, 50
1397835574.6147611141204833984375000, 7756941.895, -364051.29, 51
1397835578.3648400306701660156250000, 7756912.029, -364047.584, 52
1397835586.4899539947509765625000000, 7756881.957, -364043.573, 53
1397835591.8649380207061767578125000, 7756852.019, -364039.417, 54
1397835599.2399709224700927734375000, 7756821.812, -364035.026, 55
1397835605.2400720119476318359375000, 7756792.704, -364026.066, 56
1397835615.8651189804077148437500000, 7756764.264, -364016.484, 57
1397835621.2401900291442871093750000, 7756736.311, -364004.534, 58
1397835625.9902019500732421875000000, 7756708.729, -363988.638, 59
1397835630.2402410507202148437500000, 7756682.421, -363972.338, 60
1397835634.2402780055999755859375000, 7756656.695, -363956.476, 61
1397835638.1153280735015869140625000, 7756630.573, -363940.306, 62
1397835641.8653740882873535156250000, 7756604.443, -363924.135, 63
1397835645.6153380870819091796875000, 7756578.546, -363908.475, 64
1397835649.7404439449310302734375000, 7756552.598, -363892.109, 65
1397835658.4905250072479248046875000, 7756533.383, -363868.843, 66
1397835665.8655040264129638671875000, 7756526.364, -363839.007, 67
1397835671.2406399250030517578125000, 7756530.251, -363808.5, 68
1397835676.4906771183013916015625000, 7756536.911, -363779.239, 69
1397835681.9906449317932128906250000, 7756555.425, -363754.906, 70
1397835686.7407410144805908203125000, 7756579.61, -363735.932, 71
1397835691.2407879829406738281250000, 7756603.517, -363717.388, 72
1397835695.9908089637756347656250000, 7756627.606, -363698.566, 73
1397835699.9908089637756347656250000, 7756651.543, -363680.017, 74
1397835704.1158750057220458984375000, 7756677.504, -363664.008, 75
1397835708.2408900260925292968750000, 7756706.593, -363655.266, 76
1397835712.6159598827362060546875000, 7756737.428, -363654.552, 77
1397835717.2409839630126953125000000, 7756767.392, -363658.004, 78
1397835721.7409899234771728515625000, 7756797.595, -363661.757, 79
1397835725.8660590648651123046875000, 7756827.935, -363665.498, 80
1397835730.1160380840301513671875000, 7756858.21, -363669.286, 81
1397835734.3660390377044677734375000, 7756888.809, -363673.458, 82
1397835738.3661909103393554687500000, 7756918.835, -363677.345, 83
1397835742.6161940097808837890625000, 7756949.051, -363681.436, 84
1397835747.3662660121917724609375000, 7756979.604, -363685.387, 85
1397835751.9912700653076171875000000, 7757010.007, -363689.44, 86
1397835757.1162550449371337890625000, 7757039.949, -363693.246, 87
1397835764.6163799762725830078125000, 7757070.204, -363697.374, 88
1397835770.9914441108703613281250000, 7757097.408, -363684.397, 89
1397835777.4914739131927490234375000, 7757123.956, -363669.096, 90
1397835782.1165349483489990234375000, 7757150.118, -363654.352, 91
