timestamp, x, y, label
1397835360.7379179000854492187500000, 7757683.545, -363597.237, 1
1397835363.4879219532012939453125000, 7757695.671, -363587.762, 2
1397835365.9878900051116943359375000, 7757707.858, -363578.351, 3
1397835368.6129789352416992187500000, 7757719.992, -363569.328, 4
1397835371.1129748821258544921875000, 7757732.502, -363559.666, 5
1397835373.1130011081695556640625000, 7757744.508, -363550.424, 6
1397835374.9880421161651611328125000, 7757756.976, -363540.71, 7
1397835376.8630509376525878906250000, 7757769.156, -363531.294, 8
1397835378.9880640506744384765625000, 7757783.193, -363524.105, 9
1397835380.9880650043487548828125000, 7757798.133, -363521.791, 10
1397835382.9881310462951660156250000, 7757813.681, -363524.286, 11
1397835384.8631160259246826171875000, 7757827.117, -363531.436, 12
1397835386.7381019592285156250000000, 7757838.888, -363541.668, 13
1397835388.6131598949432373046875000, 7757850.318, -363551.867, 14
1397835390.6131548881530761718750000, 7757861.938, -363562.211, 15
1397835392.6131761074066162109375000, 7757873.963, -363572.515, 16
1397835394.4882290363311767578125000, 7757885.287, -363582.412, 17
1397835396.3631370067596435546875000, 7757897.028, -363592.769, 18
1397835398.1132290363311767578125000, 7757908.538, -363602.921, 19
1397835399.8633179664611816406250000, 7757920.48, -363613.597, 20
1397835401.4883160591125488281250000, 7757931.959, -363623.719, 21
1397835403.1132960319519042968750000, 7757943.5, -363633.719, 22
1397835404.8633379936218261718750000, 7757955.296, -363644.742, 23
1397835406.7382969856262207031250000, 7757962.543, -363657.964, 24
1397835408.8633160591125488281250000, 7757963.136, -363673.325, 25
1397835411.1133360862731933593750000, 7757956.398, -363687.29, 26
1397835413.2383410930633544921875000, 7757944.689, -363698.136, 27
1397835415.2383019924163818359375000, 7757932.888, -363707.503, 28
1397835417.2383511066436767578125000, 7757920.614, -363717.059, 29
1397835419.2383809089660644531250000, 7757908.278, -363726.373, 30
1397835421.2383949756622314453125000, 7757895.858, -363735.972, 31
1397835423.2385089397430419921875000, 7757883.317, -363745.538, 32
1397835425.2384679317474365234375000, 7757870.961, -363754.981, 33
1397835427.2385179996490478515625000, 7757858.732, -363764.363, 34
1397835429.2385270595550537109375000, 7757846.71, -363773.713, 35
1397835431.2385249137878417968750000, 7757834.518, -363782.887, 36
1397835433.3635408878326416015625000, 7757822.221, -363792.273, 37
1397835435.4885220527648925781250000, 7757809.726, -363801.746, 38
1397835437.6136291027069091796875000, 7757797.615, -363811.132, 39
1397835439.8636078834533691406250000, 7757785.179, -363820.831, 40
1397835443.7386190891265869140625000, 7757773.069, -363830.269, 41
1397835447.1136679649353027343750000, 7757760.693, -363839.716, 42
1397835449.3636100292205810546875000, 7757748.714, -363848.869, 43
1397835451.4886751174926757812500000, 7757736.387, -363858.428, 44
1397835454.2387280464172363281250000, 7757724.448, -363867.637, 45
1397835457.7387590408325195312500000, 7757712.531, -363876.75, 46
1397835460.1137979030609130859375000, 7757700.476, -363885.937, 47
1397835462.1138639450073242187500000, 7757688.519, -363895.193, 48
1397835463.9887928962707519531250000, 7757676.341, -363904.529, 49
