timestamp, x, y, label
1397835357.9878749847412109375000000, 7757675.723, -363603.486, 1
1397835359.6128919124603271484375000, 7757679.766, -363600.252, 2
1397835360.8628900051116943359375000, 7757684.031, -363596.861, 3
1397835361.8629140853881835937500000, 7757688.063, -363593.753, 4
1397835362.7379539012908935546875000, 7757692.112, -363590.583, 5
1397835363.6129169464111328125000000, 7757696.277, -363587.257, 6
1397835364.4879539012908935546875000, 7757700.749, -363583.814, 7
1397835365.3630011081695556640625000, 7757704.96, -363580.562, 8
1397835366.2380049228668212890625000, 7757709.004, -363577.464, 9
1397835367.2379529476165771484375000, 7757713.625, -363573.994, 10
1397835368.2380139827728271484375000, 7757718.258, -363570.585, 11
1397835369.2379870414733886718750000, 7757722.763, -363567.247, 12
1397835370.1129610538482666015625000, 7757727.168, -363563.833, 13
1397835370.9879848957061767578125000, 7757731.788, -363560.213, 14
1397835371.7380108833312988281250000, 7757736.147, -363556.861, 15
1397835372.4880230426788330078125000, 7757740.683, -363553.367, 16
1397835373.2380449771881103515625000, 7757745.307, -363549.803, 17
1397835373.8630299568176269531250000, 7757749.409, -363546.595, 18
1397835374.4880740642547607421875000, 7757753.625, -363543.31, 19
1397835375.1130199432373046875000000, 7757757.793, -363540.073, 20
1397835375.7380239963531494140625000, 7757761.889, -363536.905, 21
1397835376.3630468845367431640625000, 7757765.964, -363533.724, 22
1397835377.1130430698394775390625000, 7757770.741, -363530.173, 23
1397835377.8630430698394775390625000, 7757775.494, -363527.284, 24
1397835378.6130650043487548828125000, 7757780.515, -363525.037, 25
1397835379.3630359172821044921875000, 7757785.854, -363523.368, 26
1397835380.1131050586700439453125000, 7757791.296, -363522.303, 27
1397835380.8631100654602050781250000, 7757797.168, -363521.793, 28
1397835381.6131100654602050781250000, 7757803.083, -363522.014, 29
1397835382.3631079196929931640625000, 7757808.936, -363522.961, 30
1397835383.1130890846252441406250000, 7757814.565, -363524.64, 31
1397835383.7380959987640380859375000, 7757819.204, -363526.594, 32
1397835384.3630669116973876953125000, 7757823.745, -363529.1, 33
1397835384.9881219863891601562500000, 7757827.912, -363532.065, 34
1397835385.6131150722503662109375000, 7757831.959, -363535.453, 35
1397835386.2381589412689208984375000, 7757835.77, -363538.855, 36
1397835386.8631510734558105468750000, 7757839.671, -363542.377, 37
1397835387.4881811141967773437500000, 7757843.489, -363545.794, 38
1397835388.1131260395050048828125000, 7757847.309, -363549.218, 39
1397835388.7381510734558105468750000, 7757851.064, -363552.537, 40
1397835389.4881560802459716796875000, 7757855.461, -363556.449, 41
1397835390.2380900382995605468750000, 7757859.77, -363560.355, 42
1397835390.9881639480590820312500000, 7757864.196, -363564.186, 43
1397835391.7381589412689208984375000, 7757868.674, -363568.031, 44
1397835392.4881689548492431640625000, 7757873.213, -363571.857, 45
1397835393.1131610870361328125000000, 7757877.02, -363575.145, 46
